Agency,Sub_contractor,Cluster,ULB,Quantity_to_be_Remediated_x,Date,Quantity_remediated_today,Balance_Quantity,percentage_of_completion,Cumulative_till_date,Quantity_to_be_Remediated_y,Machine_capacity_per_day,No_of_machines,Days_since_start
Tharuni,Tharuni,Kadapa Municipal Corporation,Kadapa,400000,5/18/2025,1629,385596,3.601,14404,400000,2800,3,5/6/2025
Tharuni,Tharuni,Rajahmundry,Srikakulam,80978,5/18/2025,1860,72365,10.63622218,8613,80978,1500,2,5/5/2025
Tharuni,Tharuni,Rajahmundry,Vizianagaram,30604,5/18/2025,602,19019,37.85452882,11585,30604,800,1,4/26/2025
Tharuni,Tharuni,Kakinada,Kakinada,300000,5/18/2025,218,298195,0.6016666667,1805,300000,3400,3,5/26/2025
Tharuni,Tharuni,Kakinada,Amalapuram,27543,5/18/2025,0,26405,4.131721308,1138,27543,600,1,5/11/2025
Tharuni,Tharuni,Chilakaluripet,Guntur,43811,5/18/2025,0,30444,30.51060236,13367,43811,900,1,4/9/2025
Zigma,Zigma,Nellore Municipal Corporation,Allipuram,35000,5/18/2025,737,19307,44.83714286,15693,35000,800,1,4/19/2025
Zigma,Zigma,Nellore Municipal Corporation,Donthali,289479,5/18/2025,0,289479,0,0,289479,1400,2,5/25/2025
Zigma,Zigma,GVMC,GVMC,201400,5/18/2025,1535,101627,49.53967229,99773,201400,1300,1,3/10/2025
Zigma,Zigma,Chittoor,Madanapalle,27532,5/18/2025,0,27532,0,0,27532,500,1,5/21/2025
Saurashtra,Saurashtra,Kurnool,Kurnool,67308,5/18/2025,0,50543,24.90758899,16765,67308,1800,1,4/29/2025
Saurashtra,Saurashtra,Nandyal,Nandyal,80083,5/18/2025,740,65798,17.83758101,14285,80083,1800,1,4/28/2025
